機種,容量,グレード,平均売価
iPhone 17 Pro Max,2TB,プレミアム,300800
iPhone 17 Pro Max,2TB,A,298800
iPhone 17 Pro Max,2TB,B,296800
iPhone 17 Pro Max,2TB,C,294800
iPhone 17 Pro Max,1TB,プレミアム,242800
iPhone 17 Pro Max,1TB,A,240800
iPhone 17 Pro Max,1TB,B,238800
iPhone 17 Pro Max,1TB,C,236800
iPhone 17 Pro Max,512GB,プレミアム,212800
iPhone 17 Pro Max,512GB,A,210800
iPhone 17 Pro Max,512GB,B,208800
iPhone 17 Pro Max,512GB,C,206800
iPhone 17 Pro Max,256GB,プレミアム,183800
iPhone 17 Pro Max,256GB,A,181800
iPhone 17 Pro Max,256GB,B,179800
iPhone 17 Pro Max,256GB,C,177800
iPhone 17 Pro,1TB,プレミアム,232800
iPhone 17 Pro,1TB,A,230800
iPhone 17 Pro,1TB,B,228800
iPhone 17 Pro,1TB,C,226800
iPhone 17 Pro,512GB,プレミアム,217800
iPhone 17 Pro,512GB,A,215800
iPhone 17 Pro,512GB,B,213800
iPhone 17 Pro,512GB,C,211800
iPhone 17 Pro,256GB,プレミアム,168800
iPhone 17 Pro,256GB,A,166800
iPhone 17 Pro,256GB,B,164800
iPhone 17 Pro,256GB,C,162800
iPhone Air,1TB,プレミアム,198000
iPhone Air,1TB,A,195000
iPhone Air,1TB,B,192000
iPhone Air,1TB,C,189000
iPhone Air,512GB,プレミアム,188000
iPhone Air,512GB,A,185000
iPhone Air,512GB,B,182000
iPhone Air,512GB,C,179000
iPhone Air,256GB,プレミアム,127346
iPhone Air,256GB,A,120000
iPhone Air,256GB,B,116000
iPhone Air,256GB,C,112000
iPhone 17,512GB,プレミアム,153800
iPhone 17,512GB,A,151800
iPhone 17,512GB,B,149800
iPhone 17,512GB,C,147800
iPhone 17,256GB,プレミアム,120800
iPhone 17,256GB,A,118800
iPhone 17,256GB,B,116800
iPhone 17,256GB,C,114800
iPhone 16e,512GB,プレミアム,107439
iPhone 16e,512GB,A,105000
iPhone 16e,512GB,B,103000
iPhone 16e,512GB,C,101000
iPhone 16e,256GB,プレミアム,105527
iPhone 16e,256GB,A,99554
iPhone 16e,256GB,B,97800
iPhone 16e,256GB,C,96800
iPhone 16e,128GB,プレミアム,87162
iPhone 16e,128GB,A,86000
iPhone 16e,128GB,B,85448
iPhone 16e,128GB,C,76800
iPhone 16 Pro Max,1TB,プレミアム,196894
iPhone 16 Pro Max,1TB,A,169690
iPhone 16 Pro Max,1TB,B,176000
iPhone 16 Pro Max,1TB,C,170000
iPhone 16 Pro Max,512GB,プレミアム,177431
iPhone 16 Pro Max,512GB,A,175800
iPhone 16 Pro Max,512GB,B,172800
iPhone 16 Pro Max,512GB,C,160148
iPhone 16 Pro Max,256GB,プレミアム,161914
iPhone 16 Pro Max,256GB,A,156344
iPhone 16 Pro Max,256GB,B,150000
iPhone 16 Pro Max,256GB,C,132309
iPhone 16 Pro,1TB,プレミアム,177225
iPhone 16 Pro,1TB,A,170000
iPhone 16 Pro,1TB,B,159764
iPhone 16 Pro,1TB,C,150237
iPhone 16 Pro,512GB,プレミアム,175199
iPhone 16 Pro,512GB,A,164528
iPhone 16 Pro,512GB,B,160191
iPhone 16 Pro,512GB,C,144835
iPhone 16 Pro,256GB,プレミアム,151349
iPhone 16 Pro,256GB,A,142355
iPhone 16 Pro,256GB,B,135996
iPhone 16 Pro,256GB,C,128555
iPhone 16 Pro,128GB,プレミアム,132281
iPhone 16 Pro,128GB,A,130000
iPhone 16 Pro,128GB,B,128000
iPhone 16 Pro,128GB,C,121553
iPhone 16 Plus,512GB,プレミアム,140000
iPhone 16 Plus,512GB,A,136000
iPhone 16 Plus,512GB,B,129800
iPhone 16 Plus,512GB,C,123800
iPhone 16 Plus,256GB,プレミアム,122323
iPhone 16 Plus,256GB,A,120000
iPhone 16 Plus,256GB,B,118556
iPhone 16 Plus,256GB,C,105390
iPhone 16 Plus,128GB,プレミアム,126988
iPhone 16 Plus,128GB,A,119800
iPhone 16 Plus,128GB,B,114800
iPhone 16 Plus,128GB,C,109300
iPhone 16,512GB,プレミアム,120953
iPhone 16,512GB,A,119000
iPhone 16,512GB,B,118000
iPhone 16,512GB,C,116800
iPhone 16,256GB,プレミアム,106800
iPhone 16,256GB,A,104000
iPhone 16,256GB,B,102000
iPhone 16,256GB,C,98893
iPhone 16,128GB,プレミアム,103159
iPhone 16,128GB,A,95707
iPhone 16,128GB,B,92000
iPhone 16,128GB,C,91400
iPhone 15 Pro Max,1TB,プレミアム,153777
iPhone 15 Pro Max,1TB,A,147463
iPhone 15 Pro Max,1TB,B,147974
iPhone 15 Pro Max,1TB,C,138448
iPhone 15 Pro Max,512GB,プレミアム,147212
iPhone 15 Pro Max,512GB,A,137778
iPhone 15 Pro Max,512GB,B,131634
iPhone 15 Pro Max,512GB,C,128497
iPhone 15 Pro Max,256GB,プレミアム,137708
iPhone 15 Pro Max,256GB,A,121576
iPhone 15 Pro Max,256GB,B,117264
iPhone 15 Pro Max,256GB,C,112285
iPhone 15 Pro,1TB,プレミアム,153995
iPhone 15 Pro,1TB,A,145335
iPhone 15 Pro,1TB,B,143800
iPhone 15 Pro,1TB,C,129426
iPhone 15 Pro,512GB,プレミアム,140091
iPhone 15 Pro,512GB,A,123800
iPhone 15 Pro,512GB,B,120000
iPhone 15 Pro,512GB,C,110697
iPhone 15 Pro,256GB,プレミアム,125570
iPhone 15 Pro,256GB,A,110497
iPhone 15 Pro,256GB,B,104845
iPhone 15 Pro,256GB,C,99626
iPhone 15 Pro,128GB,プレミアム,111447
iPhone 15 Pro,128GB,A,98132
iPhone 15 Pro,128GB,B,95545
iPhone 15 Pro,128GB,C,91861
iPhone 15 Plus,512GB,プレミアム,120628
iPhone 15 Plus,512GB,A,113800
iPhone 15 Plus,512GB,B,108800
iPhone 15 Plus,512GB,C,105316
iPhone 15 Plus,256GB,プレミアム,115328
iPhone 15 Plus,256GB,A,108800
iPhone 15 Plus,256GB,B,94003
iPhone 15 Plus,256GB,C,86603
iPhone 15 Plus,128GB,プレミアム,95000
iPhone 15 Plus,128GB,A,85580
iPhone 15 Plus,128GB,B,82887
iPhone 15 Plus,128GB,C,85239
iPhone 15,512GB,プレミアム,114000
iPhone 15,512GB,A,108000
iPhone 15,512GB,B,96250
iPhone 15,512GB,C,94122
iPhone 15,256GB,プレミアム,96000
iPhone 15,256GB,A,89232
iPhone 15,256GB,B,90681
iPhone 15,256GB,C,85392
iPhone 15,128GB,プレミアム,88189
iPhone 15,128GB,A,80582
iPhone 15,128GB,B,76829
iPhone 15,128GB,C,75558
iPhone 14 Pro Max,1TB,プレミアム,125080
iPhone 14 Pro Max,1TB,A,118000
iPhone 14 Pro Max,1TB,B,111923
iPhone 14 Pro Max,1TB,C,105698
iPhone 14 Pro Max,512GB,プレミアム,122336
iPhone 14 Pro Max,512GB,A,115411
iPhone 14 Pro Max,512GB,B,113170
iPhone 14 Pro Max,512GB,C,98240
iPhone 14 Pro Max,256GB,プレミアム,108000
iPhone 14 Pro Max,256GB,A,100000
iPhone 14 Pro Max,256GB,B,92210
iPhone 14 Pro Max,256GB,C,87293
iPhone 14 Pro Max,128GB,プレミアム,100000
iPhone 14 Pro Max,128GB,A,91838
iPhone 14 Pro Max,128GB,B,80000
iPhone 14 Pro Max,128GB,C,76243
iPhone 14 Pro,1TB,プレミアム,116000
iPhone 14 Pro,1TB,A,112000
iPhone 14 Pro,1TB,B,108000
iPhone 14 Pro,1TB,C,104000
iPhone 14 Pro,512GB,プレミアム,97883
iPhone 14 Pro,512GB,A,92342
iPhone 14 Pro,512GB,B,94473
iPhone 14 Pro,512GB,C,84310
iPhone 14 Pro,256GB,プレミアム,95106
iPhone 14 Pro,256GB,A,85661
iPhone 14 Pro,256GB,B,82225
iPhone 14 Pro,256GB,C,79536
iPhone 14 Pro,128GB,プレミアム,84715
iPhone 14 Pro,128GB,A,78183
iPhone 14 Pro,128GB,B,74519
iPhone 14 Pro,128GB,C,70837
iPhone 14 Plus,512GB,プレミアム,93280
iPhone 14 Plus,512GB,A,84800
iPhone 14 Plus,512GB,B,82800
iPhone 14 Plus,512GB,C,73944
iPhone 14 Plus,256GB,プレミアム,76182
iPhone 14 Plus,256GB,A,69256
iPhone 14 Plus,256GB,B,69281
iPhone 14 Plus,256GB,C,67838
iPhone 14 Plus,128GB,プレミアム,80296
iPhone 14 Plus,128GB,A,69811
iPhone 14 Plus,128GB,B,68122
iPhone 14 Plus,128GB,C,61270
iPhone 14,512GB,プレミアム,94127
iPhone 14,512GB,A,85363
iPhone 14,512GB,B,75800
iPhone 14,512GB,C,69800
iPhone 14,256GB,プレミアム,75169
iPhone 14,256GB,A,70097
iPhone 14,256GB,B,63386
iPhone 14,256GB,C,59965
iPhone 14,128GB,プレミアム,66604
iPhone 14,128GB,A,60059
iPhone 14,128GB,B,59105
iPhone 14,128GB,C,54690
iPhone SE3,256GB,プレミアム,47332
iPhone SE3,256GB,A,42780
iPhone SE3,256GB,B,40871
iPhone SE3,256GB,C,38021
iPhone SE3,128GB,プレミアム,34000
iPhone SE3,128GB,A,31207
iPhone SE3,128GB,B,29514
iPhone SE3,128GB,C,27997
iPhone SE3,64GB,プレミアム,29496
iPhone SE3,64GB,A,27746
iPhone SE3,64GB,B,23908
iPhone SE3,64GB,C,21812
iPhone 13 Pro Max,1TB,プレミアム,101548
iPhone 13 Pro Max,1TB,A,95800
iPhone 13 Pro Max,1TB,B,89688
iPhone 13 Pro Max,1TB,C,85800
iPhone 13 Pro Max,512GB,プレミアム,95234
iPhone 13 Pro Max,512GB,A,86577
iPhone 13 Pro Max,512GB,B,86482
iPhone 13 Pro Max,512GB,C,82800
iPhone 13 Pro Max,256GB,プレミアム,80411
iPhone 13 Pro Max,256GB,A,79168
iPhone 13 Pro Max,256GB,B,75260
iPhone 13 Pro Max,256GB,C,65468
iPhone 13 Pro Max,128GB,プレミアム,81180
iPhone 13 Pro Max,128GB,A,73528
iPhone 13 Pro Max,128GB,B,64750
iPhone 13 Pro Max,128GB,C,60485
iPhone 13 Pro,1TB,プレミアム,98789
iPhone 13 Pro,1TB,A,89808
iPhone 13 Pro,1TB,B,86883
iPhone 13 Pro,1TB,C,79869
iPhone 13 Pro,512GB,プレミアム,89478
iPhone 13 Pro,512GB,A,80706
iPhone 13 Pro,512GB,B,72467
iPhone 13 Pro,512GB,C,72012
iPhone 13 Pro,256GB,プレミアム,73288
iPhone 13 Pro,256GB,A,69819
iPhone 13 Pro,256GB,B,64405
iPhone 13 Pro,256GB,C,61583
iPhone 13 Pro,128GB,プレミアム,67491
iPhone 13 Pro,128GB,A,64797
iPhone 13 Pro,128GB,B,57713
iPhone 13 Pro,128GB,C,56233
iPhone 13 mini,512GB,プレミアム,74558
iPhone 13 mini,512GB,A,67780
iPhone 13 mini,512GB,B,59371
iPhone 13 mini,512GB,C,51429
iPhone 13 mini,256GB,プレミアム,57221
iPhone 13 mini,256GB,A,53020
iPhone 13 mini,256GB,B,50303
iPhone 13 mini,256GB,C,42464
iPhone 13 mini,128GB,プレミアム,48099
iPhone 13 mini,128GB,A,45597
iPhone 13 mini,128GB,B,43961
iPhone 13 mini,128GB,C,41471
iPhone 13,512GB,プレミアム,69282
iPhone 13,512GB,A,66850
iPhone 13,512GB,B,64173
iPhone 13,512GB,C,56955
iPhone 13,256GB,プレミアム,61785
iPhone 13,256GB,A,58024
iPhone 13,256GB,B,51718
iPhone 13,256GB,C,50201
iPhone 13,128GB,プレミアム,56873
iPhone 13,128GB,A,49999
iPhone 13,128GB,B,47365
iPhone 13,128GB,C,44219
iPhone SE2,256GB,プレミアム,21809
iPhone SE2,256GB,A,19473
iPhone SE2,256GB,B,19217
iPhone SE2,256GB,C,18659
iPhone SE2,128GB,プレミアム,19791
iPhone SE2,128GB,A,17691
iPhone SE2,128GB,B,16389
iPhone SE2,128GB,C,16269
iPhone SE2,64GB,プレミアム,17764
iPhone SE2,64GB,A,16393
iPhone SE2,64GB,B,15889
iPhone SE2,64GB,C,14993
iPhone 12 Pro Max,512GB,プレミアム,66000
